source_pdf,output_txt,pages,characters,status
IRDA/भारत के बाहर पंजीकृत बीमा कंपनी द्वारा भारत में~े संबंध में दिशानिर्देश _ Guidelines on Establishment and Closure of Liaison Office i.pdf,IRDA/भारत के बाहर पंजीकृत बीमा कंपनी द्वारा भारत में~े संबंध में दिशानिर्देश _ Guidelines on Establishment and Closure of Liaison Office i.txt,24,59494,ok
KYC/MD18KYCF6E92C82E1E1419D87323E3869BC9F13.pdf,KYC/MD18KYCF6E92C82E1E1419D87323E3869BC9F13.txt,107,241384,ok
RBI/02MD787706E669D641C090B415DBE22DEE29.pdf,RBI/02MD787706E669D641C090B415DBE22DEE29.txt,12,21197,ok
RBI/03MD945692290C104C5595AEDAC89AE78788.pdf,RBI/03MD945692290C104C5595AEDAC89AE78788.txt,21,45764,ok
RBI/04MD5127742FD0914D54B5EC4ECA8076F325.pdf,RBI/04MD5127742FD0914D54B5EC4ECA8076F325.txt,34,68651,ok
RBI/05MD56DF4232873F466191DC23F39F1012DD.pdf,RBI/05MD56DF4232873F466191DC23F39F1012DD.txt,10,20885,ok
RBI/06MDE170516F633150EBCFE438084174F7DECCDC20C.pdf,RBI/06MDE170516F633150EBCFE438084174F7DECCDC20C.txt,27,42099,ok
RBI/07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.pdf,RBI/07MIP0101168C51C4CB845342D09E8A4A613B1F1C6D.txt,14,34598,ok
RBI/08MDROA112016989330DF1FF9494784DAC32B488E6AE4.pdf,RBI/08MDROA112016989330DF1FF9494784DAC32B488E6AE4.txt,7,12710,ok
RBI/09MDD593B2F2D48648C8AB3D37625C9F245D.pdf,RBI/09MDD593B2F2D48648C8AB3D37625C9F245D.txt,26,76951,ok
RBI/108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.pdf,RBI/108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.txt,23,38841,ok
RBI/109MDCPNCD797F42D139D741169EB58E637B243FF6.pdf,RBI/109MDCPNCD797F42D139D741169EB58E637B243FF6.txt,18,30589,ok
RBI/111MDONBBPS87BA4103916D4B21AE117F1443020ADB.pdf,RBI/111MDONBBPS87BA4103916D4B21AE117F1443020ADB.txt,6,11627,ok
RBI/117MDRBIOTCDERIVATIVES20245DEA695183554A20B155CE65F58944DD.pdf,RBI/117MDRBIOTCDERIVATIVES20245DEA695183554A20B155CE65F58944DD.txt,22,39847,ok
RBI/11MDEGS1205163428383952204B77831A3A086E82FDDF.pdf,RBI/11MDEGS1205163428383952204B77831A3A086E82FDDF.txt,47,121715,ok
RBI/121MDOI2507202427D16C96B42C4E0B849FFD9732752B68.pdf,RBI/121MDOI2507202427D16C96B42C4E0B849FFD9732752B68.txt,26,59081,ok
RBI/12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.pdf,RBI/12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.txt,40,84814,ok
RBI/13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.pdf,RBI/13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.txt,148,251265,ok
RBI/14MDM1120153F2FD5CC455640E78D139304BC7C080F.pdf,RBI/14MDM1120153F2FD5CC455640E78D139304BC7C080F.txt,9,20369,ok
RBI/16MCDF82CC17C279247FCB66E2A39BDAD38F6.pdf,RBI/16MCDF82CC17C279247FCB66E2A39BDAD38F6.txt,15,34490,ok
RBI/29MD8B47C911ECA14450AACBAEF6D7981EF8.pdf,RBI/29MD8B47C911ECA14450AACBAEF6D7981EF8.txt,70,129892,ok
RBI/41MD9A29482F99DA4EDC85228FE9DB357710.pdf,RBI/41MD9A29482F99DA4EDC85228FE9DB357710.txt,20,37118,ok
RBI/54MD2A55E3AC724E42C9B6B898A116CBFF56.pdf,RBI/54MD2A55E3AC724E42C9B6B898A116CBFF56.txt,6,9303,ok
RBI/55MD0A0C769D62074BCEAEC6F40FD8356870.pdf,RBI/55MD0A0C769D62074BCEAEC6F40FD8356870.txt,13,25395,ok
RBI/56MD24072017E50D0ED63F9B4414AA756FF0FC72FB66.pdf,RBI/56MD24072017E50D0ED63F9B4414AA756FF0FC72FB66.txt,15,31776,ok
RBI/5MD2603201979CA1390E9E546869B2A9A92614DEDBF.pdf,RBI/5MD2603201979CA1390E9E546869B2A9A92614DEDBF.txt,21,61861,ok
RBI/61MD0825F724310142CBB351B33F9C3F80FA (1).pdf,RBI/61MD0825F724310142CBB351B33F9C3F80FA (1).txt,6,9544,ok
RBI/61MD0825F724310142CBB351B33F9C3F80FA.pdf,RBI/61MD0825F724310142CBB351B33F9C3F80FA.txt,6,9544,ok
RBI/78CALL95561D4E6ED4441EAE8AB0763E9B5DAE.pdf,RBI/78CALL95561D4E6ED4441EAE8AB0763E9B5DAE.txt,8,13510,ok
RBI/82MDPPIS2708202181CF0A6FCD1B47B88CAE8E92A228B160.pdf,RBI/82MDPPIS2708202181CF0A6FCD1B47B88CAE8E92A228B160.txt,40,100677,ok
RBI/84MD8DAD7C4F379B4875AC9C2D398646B42D.pdf,RBI/84MD8DAD7C4F379B4875AC9C2D398646B42D.txt,13,23657,ok
RBI/94MDHEDGIN0DE447B3472143D6B3237D5F605E2ADB.pdf,RBI/94MDHEDGIN0DE447B3472143D6B3237D5F605E2ADB.txt,6,11092,ok
RBI/GMS7AF4FA9118674FAF994A9C133D0295CF.pdf,RBI/GMS7AF4FA9118674FAF994A9C133D0295CF.txt,28,49258,ok
RBI/MD01220220176458378BB80A417592B7CE4DB57B123A.pdf,RBI/MD01220220176458378BB80A417592B7CE4DB57B123A.txt,15,28946,ok
RBI/MD03_29031928C70FB929814CFCA72C7D3ED5A0EDE4.pdf,RBI/MD03_29031928C70FB929814CFCA72C7D3ED5A0EDE4.txt,34,67936,ok
RBI/MD11_04012018B4D0DB4E6DA04CC4B7AF62AA03D902BE.pdf,RBI/MD11_04012018B4D0DB4E6DA04CC4B7AF62AA03D902BE.txt,55,131983,ok
RBI/MD123C0C6F7FF70E34F3DA5623B9E72AB3181.pdf,RBI/MD123C0C6F7FF70E34F3DA5623B9E72AB3181.txt,16,33195,ok
RBI/MD28A4C421E7F7724C07B38E3C6207F3548E.pdf,RBI/MD28A4C421E7F7724C07B38E3C6207F3548E.txt,35,68107,ok
RBI/MD3191FD1C01B7704FB9B24E7073F651AB51.pdf,RBI/MD3191FD1C01B7704FB9B24E7073F651AB51.txt,65,87527,ok
RBI/MD47290920166EB3809B368247B5AD9EA90B846DB0BC.pdf,RBI/MD47290920166EB3809B368247B5AD9EA90B846DB0BC.txt,20,28248,ok
RBI/MD51170116C65788DE8A564165B74D5FECE0626A73.pdf,RBI/MD51170116C65788DE8A564165B74D5FECE0626A73.txt,58,109774,ok
RBI/NT5080C62E3929DE4D70AABB8136B7B5F647.pdf,RBI/NT5080C62E3929DE4D70AABB8136B7B5F647.txt,8,12510,ok
SEBI/1688198222283.pdf,SEBI/1688198222283.txt,104,195940,ok
SEBI/1738668300985.pdf,SEBI/1738668300985.txt,44,77646,ok
SEBI/1763961352516.pdf,SEBI/1763961352516.txt,33,107719,ok
SEBI/1766125665223.pdf,SEBI/1766125665223.txt,43,112878,ok
SEBI/1767852346757.pdf,SEBI/1767852346757.txt,50,133733,ok
SEBI/1768814495033.pdf,SEBI/1768814495033.txt,78,150918,ok
SEBI/1769162648420.pdf,SEBI/1769162648420.txt,81,175206,ok
SEBI/1769776024792.pdf,SEBI/1769776024792.txt,291,608373,ok
SEBI/1774592300989.pdf,SEBI/1774592300989.txt,482,1164899,ok
SEBI/1776685013526.pdf,SEBI/1776685013526.txt,178,384679,ok
SEBI/1777024110709.pdf,SEBI/1777024110709.txt,43,120335,ok
SEBI/1780915347745.pdf,SEBI/1780915347745.txt,231,678462,ok
SEBI/1783483757936.pdf,SEBI/1783483757936.txt,60,178362,ok
SEBI/1783933012694.pdf,SEBI/1783933012694.txt,88,200360,ok
SEBI/1784286369601.pdf,SEBI/1784286369601.txt,86,174167,ok
SEBI/1784630770711.pdf,SEBI/1784630770711.txt,230,677694,ok
SEBI/1784895062551.pdf,SEBI/1784895062551.txt,57,107644,ok
SEBI/1785301664601.pdf,SEBI/1785301664601.txt,100,233137,ok
SEBI/1785306756282.pdf,SEBI/1785306756282.txt,177,349494,ok
SEBI/1785910555405.pdf,SEBI/1785910555405.txt,42,127848,ok
SEBI/1785911192198.pdf,SEBI/1785911192198.txt,79,184091,ok
SEBI/1785911420093.pdf,SEBI/1785911420093.txt,45,89498,ok
SEBI/1785911821382.pdf,SEBI/1785911821382.txt,37,97748,ok
SEBI/1785912002778.pdf,SEBI/1785912002778.txt,38,104894,ok
SEBI/1785912187595.pdf,SEBI/1785912187595.txt,43,113262,ok
SEBI/1785912302660.pdf,SEBI/1785912302660.txt,48,94089,ok
SEBI/1786079334698.pdf,SEBI/1786079334698.txt,8,14841,ok
SEBI/1786079439303.pdf,SEBI/1786079439303.txt,22,52319,ok
SEBI/1786079544836.pdf,SEBI/1786079544836.txt,67,119654,ok
SEBI/1786079666313.pdf,SEBI/1786079666313.txt,84,209103,ok
SEBI/1786106014004.pdf,SEBI/1786106014004.txt,33,87444,ok
SEBI/1786106228953.pdf,SEBI/1786106228953.txt,8,20674,ok
SEBI/1786946157192.pdf,SEBI/1786946157192.txt,4,7379,ok
SEBI/1786946386504.pdf,SEBI/1786946386504.txt,24,43734,ok
SEBI/1786948077008.pdf,SEBI/1786948077008.txt,28,73073,ok
SEBI/1786948319926.pdf,SEBI/1786948319926.txt,46,107299,ok
SEBI/1786956590250.pdf,SEBI/1786956590250.txt,83,216076,ok
SEBI/1786956716890.pdf,SEBI/1786956716890.txt,72,118256,ok
SEBI/1786957017377.pdf,SEBI/1786957017377.txt,17,47300,ok
SEBI/1786957172778.pdf,SEBI/1786957172778.txt,86,216770,ok
SEBI/1786957538332.pdf,SEBI/1786957538332.txt,85,210246,ok
SEBI/1786963663321.pdf,SEBI/1786963663321.txt,82,169779,ok
SEBI/1786963993953.pdf,SEBI/1786963993953.txt,9,14483,ok
SEBI/1787029071912.pdf,SEBI/1787029071912.txt,27,43183,ok
SEBI/1787029340207.pdf,SEBI/1787029340207.txt,13,23028,ok
SEBI/1787044429049.pdf,SEBI/1787044429049.txt,31,49961,ok
